X,Y,Z_prev,variance_ratio,Variance_sq,is_improving,direction,dVariance_abs,target_step
-13000,-13000,682,1,10690.1974,0,1,0,0.187615965
-13000,-13000,882,1.336272865,19088.68555,1,1,34.76839851,-199.812384
-13000,-13000,687,1,7887.163926,0,1,0,-4.812384035
-13000,-13000,887,1.542980942,18777.68249,1,1,48.22197798,-204.812384
-13000,-13000,677,1,11377.21292,0,1,0,5.187615965
-13000,-13000,877,1.135386491,14666.39343,1,1,14.4408672,-194.812384
-13000,-13000,692,1,10379.93493,0,1,0,-9.812384035
-13000,-13000,892,0.780103488,6316.828276,0,1,22.40348886,-209.812384
-13000,-13000,672,1,3473.905274,0,1,0,10.18761597
-13000,-13000,872,1.757469458,10729.84738,1,1,44.64513208,-189.812384
-13000,-13000,697,1,10018.95093,0,1,0,-14.81238403
-13000,-13000,897,1.037223017,10778.70388,1,1,3.72582708,-214.812384
-13000,-13000,667,1,10486.26676,0,1,0,15.18761597
-13000,-13000,867,1.205342278,15234.97273,1,1,21.02755735,-184.812384
-13000,-13000,702,1,11662.17702,0,1,0,-19.81238403
-13000,-13000,902,1.365199948,21735.62613,1,1,39.43851205,-219.812384
-13000,-13000,662,1,9860.078281,0,1,0,20.18761597
-13000,-13000,862,1.429728232,20155.21099,1,1,42.67112253,-179.812384
-13000,-13000,707,1,14945.18819,0,1,0,-24.81238403
-13000,-13000,907,1.294502129,25044.18631,1,1,36.00303664,-224.812384
-13000,-13000,657,1,7524.374207,0,1,0,25.18761597
-13000,-13000,857,1.347822048,13668.96082,1,1,30.17118035,-174.812384
-13000,-13000,712,1,11273.85457,0,1,0,-29.81238403
-13000,-13000,912,1.524737542,26209.73411,1,1,55.71579739,-229.812384
-13000,-13000,652,1,11703.66725,0,1,0,30.18761597
-13000,-13000,852,1.173608355,16120.123,1,1,18.78155757,-169.812384
-13000,-13000,717,1,13999.43831,0,1,0,-34.81238403
-13000,-13000,917,1.307353413,23927.46124,1,1,36.36581677,-234.812384
-13000,-13000,647,1,8555.382467,0,1,0,35.18761597
-13000,-13000,847,1.018616978,8876.898422,1,1,1.721983131,-164.812384
-13000,-13000,722,1,10333.19011,0,1,0,-39.81238403
-13000,-13000,922,1.635892267,27653.09962,1,1,64.63991149,-239.812384
-13000,-13000,642,1,10617.77696,0,1,0,40.18761597
-13000,-13000,842,1.320303524,18508.92363,1,1,33.00490724,-159.812384
-13000,-13000,727,1,8903.442633,0,1,0,-44.81238403
-13000,-13000,927,1.600290162,22801.0809,1,1,56.6422124,-244.812384
-13000,-13000,637,1,10685.59539,0,1,0,45.18761597
-13000,-13000,837,1.3327382,18979.65952,1,1,34.39553153,-154.812384
-13000,-13000,732,1,19206.55236,0,1,0,-49.81238403
-13000,-13000,932,1.254145308,30209.61078,1,1,35.22141531,-249.812384
-13000,-13000,632,1,12342.22597,0,1,0,50.18761597
-13000,-13000,832,1.260122013,19598.31303,1,1,28.89840364,-149.812384
-13000,-13000,482,1,7255.905793,0,1,0,200.187616
-13000,-13000,682,1.041433354,7869.635202,1,1,3.529359604,0.187615965
-13000,-13000,882,1,21473.16454,0,1,0,-199.812384
-13000,-13000,1082,0.692668305,10302.59631,0,1,45.03554031,-399.812384
-13000,-13000,1082,1,8150.498533,0,1,0,-399.812384
-13000,-13000,1282,0.691505183,3897.400645,0,1,27.85094649,-599.812384
-13000,-13000,282,1,3074.390931,0,1,0,400.187616
-13000,-13000,482,1.131574058,3936.63415,1,1,7.295411881,200.187616
-13000,-13000,100,1,2519.1913,0,1,0,582.187616
-13000,-13000,300,1.038619236,2717.527023,1,1,1.938359165,382.187616
-13000,-13000,1282,1,4663.39339,0,1,0,-599.812384
-13000,-13000,1482,0.722832146,2436.55921,0,1,18.92752749,-799.812384
-13000,-13000,1482,1,2428.901399,0,1,0,-799.812384
